Match Code,Code,Year,Tour,Tournament,Stage,Type,Winner,Loser,URL,View Count,Duration
,01,2023,WTA,US,Final,B - Extended Highlights,,,,,
,02,2023,ATP,US,Final,B - Extended Highlights,,,,,
,03,2023,WTA,WB,Final,B - Extended Highlights,Vondrousova,Jabeur,,,
,04,2023,ATP,WB,Final,B - Extended Highlights,Alcaraz,Djokovic,,,
,05,2023,WTA,RG,Final,B - Extended Highlights,Swiatek,Muchova,,,
,06,2023,ATP,RG,Final,B - Extended Highlights,Djokovic,Ruud,,,
,07,2023,WTA,AO,Final,B - Extended Highlights,Sabalenka,Rybakina,https://www.youtube.com/watch?v=RZYrEiyPGuE,,
,08,2023,ATP,AO,Final,B - Extended Highlights,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=N2Dtsx-6aDc,,
,09,2022,WTA,US,Final,B - Extended Highlights,Swiatek,Jabeur,https://www.youtube.com/watch?v=nAzy7wWSTfE,,
,10,2022,ATP,US,Final,B - Extended Highlights,Alcaraz,Ruud,,,
,11,2022,WTA,WB,Final,B - Extended Highlights,Rybakina,Jabeur,,,
,12,2022,ATP,WB,Final,B - Extended Highlights,Djokovic,Kyrgios,,,
,13,2022,WTA,RG,Final,B - Extended Highlights,Swiatek,Gauff,,,
,14,2022,ATP,RG,Final,B - Extended Highlights,Nadal,Ruud,,,
,15,2022,WTA,AO,Final,B - Extended Highlights,Barty,Collins,https://www.youtube.com/watch?v=79IVV8d2dQQ,,
,16,2022,ATP,AO,Final,B - Extended Highlights,Nadal,Medvedev,https://www.youtube.com/watch?v=v27M_RgrLzU,,
,17,2021,WTA,US,Final,B - Extended Highlights,Raducanu,Fernandez,https://www.youtube.com/watch?v=MIUfjnBG-Yc,,
,18,2021,ATP,US,Final,B - Extended Highlights,Medvedev,Djokovic,https://www.youtube.com/watch?v=iQcNk6lBMsE,,
,19,2021,WTA,WB,Final,B - Extended Highlights,Barty,Pliskova,,,
,20,2021,ATP,WB,Final,B - Extended Highlights,Djokovic,Berrettini,,,
,21,2021,WTA,RG,Final,B - Extended Highlights,Krejcikova,Pavlyuchenkova,,,
,22,2021,ATP,RG,Final,B - Extended Highlights,Djokovic,Tsitsipas,,,
,23,2021,WTA,AO,Final,B - Extended Highlights,Osaka,Brady,https://www.youtube.com/watch?v=Paq5M3il5R4,,
,24,2021,ATP,AO,Final,B - Extended Highlights,Djokovic,Medvedev,https://www.youtube.com/watch?v=w4N_28vdS-Q,,
,25,2020,WTA,US,Final,B - Extended Highlights,Osaka,Azarenka,,,
,26,2020,ATP,US,Final,B - Extended Highlights,Thiem,Zverev,,,
,27,2020,WTA,WB,Final,B - Extended Highlights,,,,,
,28,2020,ATP,WB,Final,B - Extended Highlights,,,,,
,29,2020,WTA,RG,Final,B - Extended Highlights,Swiatek,Kenin,,,
,30,2020,ATP,RG,Final,B - Extended Highlights,Nadal,Djokovic,,,
,31,2020,WTA,AO,Final,B - Extended Highlights,Kenin,Muguruza,https://www.youtube.com/watch?v=caaAY3bxLNM,,
,32,2020,ATP,AO,Final,B - Extended Highlights,Djokovic,Thiem,,,
,33,2019,WTA,US,Final,B - Extended Highlights,Andreescu,Serena,https://www.youtube.com/watch?v=OmKD_2rOf54,,
,34,2019,ATP,US,Final,B - Extended Highlights,Nadal,Medvedev,,,
,35,2019,WTA,WB,Final,B - Extended Highlights,Halep,Serena,,,
,36,2019,ATP,WB,Final,B - Extended Highlights,Djokovic,Federer,,,
,37,2019,WTA,RG,Final,B - Extended Highlights,Barty,Vondrousova,,,
,38,2019,ATP,RG,Final,B - Extended Highlights,Nadal,Thiem,,,
,39,2019,WTA,AO,Final,B - Extended Highlights,Osaka,Kvitova,,,
,40,2019,ATP,AO,Final,B - Extended Highlights,Djokovic,Nadal,,,
