Match Code,Match Code 2,Code,Year,Tour,Tournament,Stage,Type,Type Code,Winner,Loser,URL,View Count,Duration
2023_W_US_FN,2023_W_US_FN_C,01,2023,WTA,US,Final,C - Condensed Highlights,C,,,,,
2023_M_US_FN,2023_M_US_FN_C,02,2023,ATP,US,Final,C - Condensed Highlights,C,,,,,
2023_W_WB_FN,2023_W_WB_FN_C,03,2023,WTA,WB,Final,C - Condensed Highlights,C,Vondrousova,Jabeur,,,
2023_M_WB_FN,2023_M_WB_FN_C,04,2023,ATP,WB,Final,C - Condensed Highlights,C,Alcaraz,Djokovic,https://www.youtube.com/watch?v=dvBr9Wr8BCY,,
2023_W_RG_FN,2023_W_RG_FN_C,05,2023,WTA,RG,Final,C - Condensed Highlights,C,Swiatek,Muchova,,,
2023_M_RG_FN,2023_M_RG_FN_C,06,2023,ATP,RG,Final,C - Condensed Highlights,C,Djokovic,Ruud,,,
2023_W_AO_FN,2023_W_AO_FN_C,07,2023,WTA,AO,Final,C - Condensed Highlights,C,Sabalenka,Rybakina,https://www.youtube.com/watch?v=uNzfXjwcqBo,,
2023_M_AO_FN,2023_M_AO_FN_C,08,2023,ATP,AO,Final,C - Condensed Highlights,C,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=C05jFtdQeEc,,
2022_W_US_FN,2022_W_US_FN_C,09,2022,WTA,US,Final,C - Condensed Highlights,C,Swiatek,Jabeur,,,
2022_M_US_FN,2022_M_US_FN_C,10,2022,ATP,US,Final,C - Condensed Highlights,C,Alcaraz,Ruud,https://www.youtube.com/watch?v=kOZmvyGM5JI,,
2022_W_WB_FN,2022_W_WB_FN_C,11,2022,WTA,WB,Final,C - Condensed Highlights,C,Rybakina,Jabeur,,,
2022_M_WB_FN,2022_M_WB_FN_C,12,2022,ATP,WB,Final,C - Condensed Highlights,C,Djokovic,Kyrgios,,,
2022_W_RG_FN,2022_W_RG_FN_C,13,2022,WTA,RG,Final,C - Condensed Highlights,C,Swiatek,Gauff,,,
2022_M_RG_FN,2022_M_RG_FN_C,14,2022,ATP,RG,Final,C - Condensed Highlights,C,Nadal,Ruud,,,
2022_W_AO_FN,2022_W_AO_FN_C,15,2022,WTA,AO,Final,C - Condensed Highlights,C,Barty,Collins,,,
2022_M_AO_FN,2022_M_AO_FN_C,16,2022,ATP,AO,Final,C - Condensed Highlights,C,Nadal,Medvedev,,,
2021_W_US_FN,2021_W_US_FN_C,17,2021,WTA,US,Final,C - Condensed Highlights,C,Raducanu,Fernandez,,,
2021_M_US_FN,2021_M_US_FN_C,18,2021,ATP,US,Final,C - Condensed Highlights,C,Medvedev,Djokovic,,,
2021_W_WB_FN,2021_W_WB_FN_C,19,2021,WTA,WB,Final,C - Condensed Highlights,C,Barty,Pliskova,,,
2021_M_WB_FN,2021_M_WB_FN_C,20,2021,ATP,WB,Final,C - Condensed Highlights,C,Djokovic,Berrettini,,,
2021_W_RG_FN,2021_W_RG_FN_C,21,2021,WTA,RG,Final,C - Condensed Highlights,C,Krejcikova,Pavlyuchenkova,,,
2021_M_RG_FN,2021_M_RG_FN_C,22,2021,ATP,RG,Final,C - Condensed Highlights,C,Djokovic,Tsitsipas,,,
2021_W_AO_FN,2021_W_AO_FN_C,23,2021,WTA,AO,Final,C - Condensed Highlights,C,Osaka,Brady,,,
2021_M_AO_FN,2021_M_AO_FN_C,24,2021,ATP,AO,Final,C - Condensed Highlights,C,Djokovic,Medvedev,,,
