Match Code,Code,Year,Tour,Tournament,Stage,Type,Winner,Loser,URL,View Count,Duration
,01,2023,WTA,US,Final,D - Full Match,,,,,
,02,2023,ATP,US,Final,D - Full Match,,,,,
,03,2023,WTA,WB,Final,D - Full Match,Vondrousova,Jabeur,,,
,04,2023,ATP,WB,Final,D - Full Match,Alcaraz,Djokovic,https://www.youtube.com/watch?v=5uFAkizQNJI,,
,05,2023,WTA,RG,Final,D - Full Match,Swiatek,Muchova,,,
,06,2023,ATP,RG,Final,D - Full Match,Djokovic,Ruud,,,
,07,2023,WTA,AO,Final,D - Full Match,Sabalenka,Rybakina,,,
,08,2023,ATP,AO,Final,D - Full Match,Djokovic,Tsitsipas,,,
,09,2022,WTA,US,Final,D - Full Match,Swiatek,Jabeur,,,
,10,2022,ATP,US,Final,D - Full Match,Alcaraz,Ruud,https://www.youtube.com/watch?v=HCIhFyeQxu0,,
,11,2022,WTA,WB,Final,D - Full Match,Rybakina,Jabeur,,,
,12,2022,ATP,WB,Final,D - Full Match,Djokovic,Kyrgios,,,
,13,2022,WTA,RG,Final,D - Full Match,Swiatek,Gauff,,,
,14,2022,ATP,RG,Final,D - Full Match,Nadal,Ruud,,,
,15,2022,WTA,AO,Final,D - Full Match,Barty,Collins,,,
,16,2022,ATP,AO,Final,D - Full Match,Nadal,Medvedev,,,
,17,2021,WTA,US,Final,D - Full Match,Raducanu,Fernandez,https://www.youtube.com/watch?v=F99Kz2eptqM,,
,18,2021,ATP,US,Final,D - Full Match,Medvedev,Djokovic,https://www.youtube.com/watch?v=yACtNdJaBso,,
,19,2021,WTA,WB,Final,D - Full Match,Barty,Pliskova,,,
,20,2021,ATP,WB,Final,D - Full Match,Djokovic,Berrettini,,,
,21,2021,WTA,RG,Final,D - Full Match,Krejcikova,Pavlyuchenkova,,,
,22,2021,ATP,RG,Final,D - Full Match,Djokovic,Tsitsipas,,,
,23,2021,WTA,AO,Final,D - Full Match,Osaka,Brady,https://www.youtube.com/watch?v=AnWCIikbiO0,,
,24,2021,ATP,AO,Final,D - Full Match,Djokovic,Medvedev,https://www.youtube.com/watch?v=MG-RjlqyaJI,,
,25,2020,WTA,US,Final,D - Full Match,Osaka,Azarenka,https://www.youtube.com/watch?v=LVjO-dH0P6c,,
,26,2020,ATP,US,Final,D - Full Match,Thiem,Zverev,,,
,27,2020,WTA,WB,Final,D - Full Match,,,,,
,28,2020,ATP,WB,Final,D - Full Match,,,,,
,29,2020,WTA,RG,Final,D - Full Match,Swiatek,Kenin,,,
,30,2020,ATP,RG,Final,D - Full Match,Nadal,Djokovic,,,
,31,2020,WTA,AO,Final,D - Full Match,Kenin,Muguruza,https://www.youtube.com/watch?v=FY1DeATclio,,
,32,2020,ATP,AO,Final,D - Full Match,Djokovic,Thiem,https://www.youtube.com/watch?v=AGW3o-7Hx50,,
,33,2019,WTA,US,Final,D - Full Match,Andreescu,Serena,https://www.youtube.com/watch?v=GCzsODijnqw,,
,34,2019,ATP,US,Final,D - Full Match,Nadal,Medvedev,https://www.youtube.com/watch?v=ROaqNQ-12Js,,
,35,2019,WTA,WB,Final,D - Full Match,Halep,Serena,https://www.youtube.com/watch?v=fduc5bZx3ss,,
,36,2019,ATP,WB,Final,D - Full Match,Djokovic,Federer,https://www.youtube.com/watch?v=TUikJi0Qhhw,,
,37,2019,WTA,RG,Final,D - Full Match,Barty,Vondrousova,,,
,38,2019,ATP,RG,Final,D - Full Match,Nadal,Thiem,,,
,39,2019,WTA,AO,Final,D - Full Match,Osaka,Kvitova,https://www.youtube.com/watch?v=5ox8uWPCn0I,,
,40,2019,ATP,AO,Final,D - Full Match,Djokovic,Nadal,https://www.youtube.com/watch?v=nHBA_K0RooU,,
