Match Code,Match Code 2,Code,Year,Tour,Tournament,Stage,Type,Type Code,Winner,Loser,URL,View Count,Duration
2023_W_US_FN,2023_W_US_FN_H,01,2023,WTA,US,Final,A - Match Highlights,H,,,,,
2023_M_US_FN,2023_M_US_FN_H,02,2023,ATP,US,Final,A - Match Highlights,H,,,,,
2023_W_WB_FN,2023_W_WB_FN_H,03,2023,WTA,WB,Final,A - Match Highlights,H,Vondrousova,Jabeur,https://www.youtube.com/watch?v=3c9n9tXK0GY,,
2023_M_WB_FN,2023_M_WB_FN_H,04,2023,ATP,WB,Final,A - Match Highlights,H,Alcaraz,Djokovic,https://www.youtube.com/watch?v=K-VmllVIOXA,,
2023_W_RG_FN,2023_W_RG_FN_H,05,2023,WTA,RG,Final,A - Match Highlights,H,Swiatek,Muchova,https://www.youtube.com/watch?v=3aVEdw3ATQY,,
2023_M_RG_FN,2023_M_RG_FN_H,06,2023,ATP,RG,Final,A - Match Highlights,H,Djokovic,Ruud,https://www.youtube.com/watch?v=Rfcfzh2ujVE,,
2023_W_AO_FN,2023_W_AO_FN_H,07,2023,WTA,AO,Final,A - Match Highlights,H,Sabalenka,Rybakina,https://www.youtube.com/watch?v=Zz_1D1QBwu4,,
2023_M_AO_FN,2023_M_AO_FN_H,08,2023,ATP,AO,Final,A - Match Highlights,H,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=xeO5rfW2nUc,,
2022_W_US_FN,2022_W_US_FN_H,09,2022,WTA,US,Final,A - Match Highlights,H,Swiatek,Jabeur,https://www.youtube.com/watch?v=F9bCq3Z2xM8,,
2022_M_US_FN,2022_M_US_FN_H,10,2022,ATP,US,Final,A - Match Highlights,H,Alcaraz,Ruud,https://www.youtube.com/watch?v=SEFnfcfvLkw,,
2022_W_WB_FN,2022_W_WB_FN_H,11,2022,WTA,WB,Final,A - Match Highlights,H,Rybakina,Jabeur,https://www.youtube.com/watch?v=BzkN0Yfoyh0,,
2022_M_WB_FN,2022_M_WB_FN_H,12,2022,ATP,WB,Final,A - Match Highlights,H,Djokovic,Kyrgios,https://www.youtube.com/watch?v=RO52Y8SOIUU,,
