Match Code,Match Code 2,Code,Year,Tour,Tournament,Stage,Type,Type Code,Winner,Loser,URL,View Count,Duration
2023_W_US_FN,2023_W_US_FN_X,01,2023,WTA,US,Final,B - Extended Highlights,X,,,,,
2023_M_US_FN,2023_M_US_FN_X,02,2023,ATP,US,Final,B - Extended Highlights,X,,,,,
2023_W_WB_FN,2023_W_WB_FN_X,03,2023,WTA,WB,Final,B - Extended Highlights,X,Vondrousova,Jabeur,,,
2023_M_WB_FN,2023_M_WB_FN_X,04,2023,ATP,WB,Final,B - Extended Highlights,X,Alcaraz,Djokovic,,,
2023_W_RG_FN,2023_W_RG_FN_X,05,2023,WTA,RG,Final,B - Extended Highlights,X,Swiatek,Muchova,,,
2023_M_RG_FN,2023_M_RG_FN_X,06,2023,ATP,RG,Final,B - Extended Highlights,X,Djokovic,Ruud,,,
2023_W_AO_FN,2023_W_AO_FN_X,07,2023,WTA,AO,Final,B - Extended Highlights,X,Sabalenka,Rybakina,https://www.youtube.com/watch?v=RZYrEiyPGuE,,
2023_M_AO_FN,2023_M_AO_FN_X,08,2023,ATP,AO,Final,B - Extended Highlights,X,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=N2Dtsx-6aDc,,
2022_W_US_FN,2022_W_US_FN_X,09,2022,WTA,US,Final,B - Extended Highlights,X,Swiatek,Jabeur,https://www.youtube.com/watch?v=nAzy7wWSTfE,,
2022_M_US_FN,2022_M_US_FN_X,10,2022,ATP,US,Final,B - Extended Highlights,X,Alcaraz,Ruud,,,
2022_W_WB_FN,2022_W_WB_FN_X,11,2022,WTA,WB,Final,B - Extended Highlights,X,Rybakina,Jabeur,,,
2022_M_WB_FN,2022_M_WB_FN_X,12,2022,ATP,WB,Final,B - Extended Highlights,X,Djokovic,Kyrgios,,,
2022_W_RG_FN,2022_W_RG_FN_X,13,2022,WTA,RG,Final,B - Extended Highlights,X,Swiatek,Gauff,,,
2022_M_RG_FN,2022_M_RG_FN_X,14,2022,ATP,RG,Final,B - Extended Highlights,X,Nadal,Ruud,,,
2022_W_AO_FN,2022_W_AO_FN_X,15,2022,WTA,AO,Final,B - Extended Highlights,X,Barty,Collins,https://www.youtube.com/watch?v=79IVV8d2dQQ,,
2022_M_AO_FN,2022_M_AO_FN_X,16,2022,ATP,AO,Final,B - Extended Highlights,X,Nadal,Medvedev,https://www.youtube.com/watch?v=v27M_RgrLzU,,
2021_W_US_FN,2021_W_US_FN_X,17,2021,WTA,US,Final,B - Extended Highlights,X,Raducanu,Fernandez,https://www.youtube.com/watch?v=MIUfjnBG-Yc,,
2021_M_US_FN,2021_M_US_FN_X,18,2021,ATP,US,Final,B - Extended Highlights,X,Medvedev,Djokovic,https://www.youtube.com/watch?v=iQcNk6lBMsE,,
2021_W_WB_FN,2021_W_WB_FN_X,19,2021,WTA,WB,Final,B - Extended Highlights,X,Barty,Pliskova,,,
2021_M_WB_FN,2021_M_WB_FN_X,20,2021,ATP,WB,Final,B - Extended Highlights,X,Djokovic,Berrettini,,,
2021_W_RG_FN,2021_W_RG_FN_X,21,2021,WTA,RG,Final,B - Extended Highlights,X,Krejcikova,Pavlyuchenkova,,,
2021_M_RG_FN,2021_M_RG_FN_X,22,2021,ATP,RG,Final,B - Extended Highlights,X,Djokovic,Tsitsipas,,,
2021_W_AO_FN,2021_W_AO_FN_X,23,2021,WTA,AO,Final,B - Extended Highlights,X,Osaka,Brady,https://www.youtube.com/watch?v=Paq5M3il5R4,,
2021_M_AO_FN,2021_M_AO_FN_X,24,2021,ATP,AO,Final,B - Extended Highlights,X,Djokovic,Medvedev,https://www.youtube.com/watch?v=w4N_28vdS-Q,,
2020_W_US_FN,2020_W_US_FN_X,25,2020,WTA,US,Final,B - Extended Highlights,X,Osaka,Azarenka,,,
2020_M_US_FN,2020_M_US_FN_X,26,2020,ATP,US,Final,B - Extended Highlights,X,Thiem,Zverev,,,
2020_W_WB_FN,2020_W_WB_FN_X,27,2020,WTA,WB,Final,B - Extended Highlights,X,,,,,
