Code,Year,Tour,Tournament,Winner,Loser,URL,View Count,Duration
01,2023,WTA,US,,,,,
02,2023,ATP,US,,,,,
03,2023,WTA,WB,,,,,
04,2023,ATP,WB,,,,,
05,2023,WTA,RG,Swiatek,Muchova,https://www.youtube.com/watch?v=3aVEdw3ATQY,,
06,2023,ATP,RG,Djokovic,Ruud,https://www.youtube.com/watch?v=Rfcfzh2ujVE,,
07,2023,WTA,AO,Sabalenka,Rybakina,https://www.youtube.com/watch?v=Zz_1D1QBwu4,,
08,2023,ATP,AO,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=xeO5rfW2nUc,,
09,2022,WTA,US,Swiatek,Jabeur,https://www.youtube.com/watch?v=F9bCq3Z2xM8,,
10,2022,ATP,US,Alcaraz,Ruud,https://www.youtube.com/watch?v=SEFnfcfvLkw,,
11,2022,WTA,WB,Rybakina,Jabeur,https://www.youtube.com/watch?v=BzkN0Yfoyh0,,
12,2022,ATP,WB,Djokovic,Kyrgios,https://www.youtube.com/watch?v=RO52Y8SOIUU,,
13,2022,WTA,RG,Swiatek,Gauff,,,
14,2022,ATP,RG,Nadal,Ruud,,,
15,2022,WTA,AO,Barty,Collins,https://www.youtube.com/watch?v=6BAx0jRXyiQ,,
16,2022,ATP,AO,Nadal,Medvedev,https://www.youtube.com/watch?v=pJO4vX7ne1g,,
17,2021,WTA,US,Raducanu,Fernandez,https://www.youtube.com/watch?v=hRydTS4kCaE,,
18,2021,ATP,US,Medvedev,Djokovic,https://www.youtube.com/watch?v=MEFpXBwnyQA,,
19,2021,WTA,WB,Barty,Pliskova,https://www.youtube.com/watch?v=fVZROvO50K8,,
20,2021,ATP,WB,Djokovic,Berrettini,https://www.youtube.com/watch?v=1IBhpowmI8s,,
21,2021,WTA,RG,Krejcikova,Pavlyuchenkova,https://www.youtube.com/watch?v=WuaksM9g7yg,,
22,2021,ATP,RG,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=c7O8a68d_xM,,
23,2021,WTA,AO,Osaka,Brady,https://www.youtube.com/watch?v=DLCZydoVaGM,,
24,2021,ATP,AO,Djokovic,Medvedev,https://www.youtube.com/watch?v=vd8-dTcZpFk,,
25,2020,WTA,US,Osaka,Azarenka,https://www.youtube.com/watch?v=ncAyvy4Q81M,,
26,2020,ATP,US,Thiem,Zverev,https://www.youtube.com/watch?v=RIevWd_4Sig,,
27,2020,WTA,WB,,,,,
28,2020,ATP,WB,,,,,
29,2020,WTA,RG,Swiatek,Kenin,https://www.youtube.com/watch?v=OwKaLdNEjlI,,
30,2020,ATP,RG,Nadal,Djokovic,https://www.youtube.com/watch?v=gkIsvlZDG-Y,,
31,2020,WTA,AO,Kenin,Muguruza,https://www.youtube.com/watch?v=SVgVfwUK1XA,,
32,2020,ATP,AO,Djokovic,Thiem,https://www.youtube.com/watch?v=0FsIdkTFLms,,
33,2019,WTA,US,Andreescu,Serena,https://www.youtube.com/watch?v=gTdKP61cXhc,,
34,2019,ATP,US,Nadal,Medvedev,https://www.youtube.com/watch?v=S63gJTsLiXc,,
35,2019,WTA,WB,Halep,Serena,https://www.youtube.com/watch?v=VRzVd1OZoaQ,,
36,2019,ATP,WB,Djokovic,Federer,https://www.youtube.com/watch?v=mnLdAeSXZv0,,
37,2019,WTA,RG,Barty,Vondrousova,https://www.youtube.com/watch?v=w1cIXHY7p0Y,,
38,2019,ATP,RG,Nadal,Thiem,https://www.youtube.com/watch?v=bjjJnuPReVY,,
39,2019,WTA,AO,Osaka,Kvitova,https://www.youtube.com/watch?v=KZZyR3Hm3F0,,
40,2019,ATP,AO,Djokovic,Nadal,https://www.youtube.com/watch?v=4EVOO_wuUkM,,
